"trial_type","trial_index","plugin_version","time_elapsed","participant","experiment_seed","total_experiment_time","age","sex","art_experience","strategy_open","success","timeout","failed_images","failed_audio","failed_video","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","question_order","final_height_px","final_width_px","scale_factor","block","block_index","trial_in_block","global_trial_index","trial_kind","pattern","rotation","feature_ids","features_triplet","stim_left","stim_middle","stim_right","is_practice","is_catch","correct_response","odd_position","chosen_index","chosen_stimulus","chosen_nv","chosen_ang","chosen_s","chosen_rot","chosen_curv","correct","block_failed","blocks_failed_total"
"pavlovia","0","null","1556","68608","246478597","8","31","Male","No experience","sharp corners vs soft cocrners
general vibes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","2749","68608","246478597","8","31","Male","No experience","sharp corners vs soft cocrners
general vibes","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","2","2.1.0","3255","68608","246478597","8","31","Male","No experience","sharp corners vs soft cocrners
general vibes","","","","","","1512","861","true","chrome","143.0.0","false","Mac OS","true","119.95","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","3","2.1.0","3764","68608","246478597","8","31","Male","No experience","sharp corners vs soft cocrners
general vibes","","","","","","1512","861","true","chrome","143.0.0","false","Mac OS","true","120.24","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","2.1.0","25064","68608","246478597","8","31","Male","No experience","sharp corners vs soft cocrners
general vibes","","","","","","","","","","","","","","","","","21299","
    <div style=""width:700px;"">
      <p><strong>Welcome!</strong></p>
      <p>In this experiment, you will see triplets of simple shapes and choose the <b>odd-one-out</b>.</p>
      <p>Press ""Continue"" to begin.</p>
      <p><strong>Please do not close this tab until the experiment finishes.</strong></p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","5","2.1.0","30953","68608","246478597","8","31","Male","No experience","sharp corners vs soft cocrners
general vibes","true","","","","","","","","","","","","","","","","4886","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","6","2.1.0","36132","68608","246478597","8","31","Male","No experience","sharp corners vs soft cocrners
general vibes","","","","","","","","","","","","","","","","","5176","","{""Age"":""31""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","2.1.0","39239","68608","246478597","8","31","Male","No experience","sharp corners vs soft cocrners
general vibes","","","","","","","","","","","","","","","","","3106","","{""Sex"":""Male""}","[0]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"resize","8","2.0.0","96992","68608","246478597","8","31","Male","No experience","sharp corners vs soft cocrners
general vibes","","","","","","","","","","","","","","","","","","","","","","436","0.9937321937321938","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","9","2.1.0","112660","68608","246478597","8","31","Male","No experience","sharp corners vs soft cocrners
general vibes","","","","","","","","","","","","","","","","","15666","
    <div style=""width:800px;"">
      <p>Thank you for your interest in this study!</p>
      <p>The experiment takes approximately 30 minutes. Finishing the full session is required for credit.</p>
      <p>Careful, attentive responses are essential for high-quality data. Rushed or ineffortful responses can mask meaningful patterns in how people perceive visual information.</p>
      <p>Your thoughtful participation genuinely helps advance scientific understanding of the human mind, and we greatly appreciate your time and engagement.</p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
