subj_id,strategy_open,art_experience,strategy_cluster,mention_number,mention_curvature,mention_angle,mention_relational,mention_intuition
66310,"I looked at what stood out to me first. I paid attention to the roundness of the shape, the number of curves, and the size or direction of the curve.","Yes, formal training",1,1,1,1,0,1
66349,"I generally looked at the overall shape of the line like how many bumps it had, where it started and ended, was it more or less curvy. A lot of decisions were instinctual because there was multiple valid “odd ones” so in those cases I chose one by instinct. The most difficult choices were when there was an ascending pattern which made the decisions difficult. I didn’t”t differentiate very strongly on if the tip of the bump was  sharp or round but rather the number of bumps and the steepness or angle of the bump","Yes, informal or self-taught experience",3,1,1,1,1,1
66403,"I really had three criteria and picked based off of which ever shape most distinctly fit any of the three. Generally I pocked a shape if it seemed to be doing a different thing from the others, i.e. moving/sloping/angling in another direction from the others. Or else If one had noticeably less/more curves than the others I picked that. Lastly if the shape of its angles were noticeably more hard or soft from the others. I compared the three shapes and picked accordingly.","Yes, informal or self-taught experience",1,1,1,1,0,0
66406,The number of bumps and how straight/curved an object was.,"Yes, informal or self-taught experience",1,1,1,0,0,0
66412,"counting the number of lumps, the shapes of the curves and bends","Yes, informal or self-taught experience",1,1,1,0,0,0
66571,"I usually choose the one with the most different general shape, prioritizing that over the sharpness of the curves, unless the curve drastically different","Yes, informal or self-taught experience",1,0,1,1,0,0
66766,"I tried to see how manu ""bumps"" there were or how much the shape took up space of the box. Some of them were confusing, but others were really obvious.",No experience,1,1,0,0,0,0
66799,"My reasoning:
I made some priorities:
1) Curvature difference, either zigzag or curved.
2) If they are the same type of curvature, checking if they are part of each other, like if there is part of one cut and it is shown.
3) If the same type of curvature, and the same number of zigzags, smoother or steeper one.

Thank you, it was an interesting experience.","Yes, informal or self-taught experience",1,1,1,1,1,0
66847,When I chose the odd one out I tended to chose the one that was either the only corner or the only curve. I also looked at the depth and positioning and if they were similar I would pic the other as the odd one out.,"Limited, occasional experience",1,0,1,1,0,0
66976,"I repeated to myself ""which doesn't belong"" then compared the three and chose the one that was the least similar to the others",No experience,2,0,0,0,1,0
67216,I focused on how many bumps each chape had as well as weather it had soft or sharp corners,No experience,1,1,1,1,0,0
67327,"I first looked at the ends of each curve to see if any were different (one pointy two curved), and made my decision based on that. If it was the case that all three were curved and no pointy, I look to see equivalency between two images (example two of the images had three bumps while the final image had two) and based my choice on that.","Limited, occasional experience",1,1,1,1,1,0
67336,"number of bumbs, direction of bumbs, round vs sharp","Yes, informal or self-taught experience",1,1,1,1,0,0
67384,"looking for the sharpness first, thenlooking for the radius of the cruve","Yes, informal or self-taught experience",1,0,1,1,0,0
67432,I looked at the number of curves and the height of each curve.,No experience,1,1,1,1,0,0
67438,"If there were two lines with smooth curves and one hard corner line, I would pick the hard corner and vice versa. If there seemed to be a progression to the lines (small hump to large hump) I would choose the one that did not fit the progression. If the waves were very shallow in two lines, but very steep in the third, I would choose the third. The same is true for the opposite. If the shapes of two lines looked similar (like a staircase), but the shape of the third was different (like a V-shape), I would choose the third. I think I was more likely to eliminate hard corner lines because they feel very brash and aggressive so if there was a choice between three hard corner lines, I would pick the one with the harshest and most corners. If all else failed, I would close my eyes and re-open them, whichever shape drew my eyes to it was the one I chose.",No experience,2,0,1,1,1,1
67639,i would just close my eyes and open them and pick which my eyes went too first,"Limited, occasional experience",3,0,0,0,0,1
67660,"First I looked at the general shape, mainly how many 'humps' did it have. After that, I looked at the curvature of the shapes, how smooth the lines were.","Yes, informal or self-taught experience",1,1,1,0,0,0
67762,Looking at general cuve and similar shapes to determine odd one out,"Limited, occasional experience",1,0,1,0,1,0
67822,"I looked at the slopes. I grouped similar-sloped curves together, even if they had different numbers of bumps. Sometimes, I would zone out on purpose to separate my eyes, which would help me distinguish the odd one out easier.","Limited, occasional experience",2,1,0,1,1,1
67975,"I would choose the one that has a different curve, especially the peaks.",No experience,1,0,1,0,0,0
68095,find the numbers of curls or sharp points,"Yes, informal or self-taught experience",1,1,1,1,0,0
68179,I looked at which was the most triangle like (pointy) or which had more curves/points.,No experience,1,1,1,1,0,0
68455,"I observed if there were any changes in angularity and went from there. I also used the curve of one shape to explain the curve of another (i.e., a curved line was the same curved line used to draw a wave pattern).","Yes, formal training",1,0,1,1,1,0
68608,"sharp corners vs soft cocrners
general vibes",No experience,3,0,1,1,0,1
68674,Determined if the edged were curves or sharp corners.,No experience,1,0,1,1,0,0
68692,Focusing on the curves; imagining one of the images being merged with another to see if they match up,"Limited, occasional experience",2,0,1,0,1,0
68701,Number of curves; if all images had the same number of curves then by curve shape (jagged or soft),No experience,1,1,1,0,0,0
69091,I Choose by looking at the tips of the shape,No experience,2,0,0,0,0,0
69199,"I often looked at the edges of the lines to see the way in which the line began to curve, and compared that with the other images.",No experience,1,0,1,0,0,0
69328,"I looked at whether the lines were sharp or curvy, whether they were smaller or filling the entire box and also by the number of curves or spikes","Yes, informal or self-taught experience",2,1,1,1,0,0
69436,"I would look at how the line looks and how many ""bumps"" in the line there was while looking at how straight or curved the lines are. I would compare the number of bumps and curviness of the lines to pick the odd one out.","Limited, occasional experience",1,1,1,0,0,0
69571,"if line was pointed or curved 
","Limited, occasional experience",3,0,1,0,0,0
70012,"I just looked for the one that didn't match, it wasn't really a strategy","Limited, occasional experience",3,0,0,0,0,1
70933,"I looked for pairs that looked like they could be continuations of each other, but also made exceptions when the shape, smoothness, or patterns felt right together.","Yes, informal or self-taught experience",2,0,1,0,1,1
