"trial_type","trial_index","plugin_version","time_elapsed","participant","expType","experiment_seed","total_experiment_time","age","sex","art_experience","strategy_open","success","timeout","failed_images","failed_audio","failed_video","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","rt","stimulus","response","question_order","final_height_px","final_width_px","scale_factor","block","block_index","trial_in_block","global_trial_index","trial_kind","pattern","rotation","feature_ids","features_triplet","stim_left","stim_middle","stim_right","is_practice","is_catch","correct_response","odd_position","chosen_index","chosen_stimulus","chosen_nv","chosen_ang","chosen_s","chosen_rot","chosen_curv","correct","block_failed","blocks_failed_total"
"pavlovia","0","null","1334","67837","noInstr","506348527","0.008","18","Male","Limited, occasional experience","I had many strategies 
1. comparing sharp corners to rounded
2. comparing overall shape size and ability to overlap not focusing on corner/round edge or # of bumps
3. focusing on # of bumps 

I think those were all ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","2240","67837","noInstr","506348527","0.008","18","Male","Limited, occasional experience","I had many strategies 
1. comparing sharp corners to rounded
2. comparing overall shape size and ability to overlap not focusing on corner/round edge or # of bumps
3. focusing on # of bumps 

I think those were all ","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","2","2.1.0","4631","67837","noInstr","506348527","0.008","18","Male","Limited, occasional experience","I had many strategies 
1. comparing sharp corners to rounded
2. comparing overall shape size and ability to overlap not focusing on corner/round edge or # of bumps
3. focusing on # of bumps 

I think those were all ","","","","","","1470","816","true","safari","26.2.0","false","Mac OS","true","60.12","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"browser-check","3","2.1.0","5648","67837","noInstr","506348527","0.008","18","Male","Limited, occasional experience","I had many strategies 
1. comparing sharp corners to rounded
2. comparing overall shape size and ability to overlap not focusing on corner/round edge or # of bumps
3. focusing on # of bumps 

I think those were all ","","","","","","1470","816","true","safari","26.2.0","false","Mac OS","true","60","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","2.1.0","9752","67837","noInstr","506348527","0.008","18","Male","Limited, occasional experience","I had many strategies 
1. comparing sharp corners to rounded
2. comparing overall shape size and ability to overlap not focusing on corner/round edge or # of bumps
3. focusing on # of bumps 

I think those were all ","","","","","","","","","","","","","","","","","4103","
    <div style=""width:700px;"">
      <p><strong>Welcome!</strong></p>
      <p>In this experiment, you will see triplets of simple shapes and choose the <b>odd-one-out</b>.</p>
      <p>Press ""Continue"" to begin.</p>
      <p><strong>Please do not close this tab until the experiment finishes.</strong></p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","5","2.1.0","12635","67837","noInstr","506348527","0.008","18","Male","Limited, occasional experience","I had many strategies 
1. comparing sharp corners to rounded
2. comparing overall shape size and ability to overlap not focusing on corner/round edge or # of bumps
3. focusing on # of bumps 

I think those were all ","true","","","","","","","","","","","","","","","","1881","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","6","2.1.0","14335","67837","noInstr","506348527","0.008","18","Male","Limited, occasional experience","I had many strategies 
1. comparing sharp corners to rounded
2. comparing overall shape size and ability to overlap not focusing on corner/round edge or # of bumps
3. focusing on # of bumps 

I think those were all ","","","","","","","","","","","","","","","","","1670","","{""Age"":""18""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","2.1.0","16619","67837","noInstr","506348527","0.008","18","Male","Limited, occasional experience","I had many strategies 
1. comparing sharp corners to rounded
2. comparing overall shape size and ability to overlap not focusing on corner/round edge or # of bumps
3. focusing on # of bumps 

I think those were all ","","","","","","","","","","","","","","","","","2282","","{""Sex"":""Male""}","[0]","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"resize","8","2.0.0","39517","67837","noInstr","506348527","0.008","18","Male","Limited, occasional experience","I had many strategies 
1. comparing sharp corners to rounded
2. comparing overall shape size and ability to overlap not focusing on corner/round edge or # of bumps
3. focusing on # of bumps 

I think those were all ","","","","","","","","","","","","","","","","","","","","","","434","0.9891737891737891","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","9","2.1.0","47833","67837","noInstr","506348527","0.008","18","Male","Limited, occasional experience","I had many strategies 
1. comparing sharp corners to rounded
2. comparing overall shape size and ability to overlap not focusing on corner/round edge or # of bumps
3. focusing on # of bumps 

I think those were all ","","","","","","","","","","","","","","","","","8315","
    <div style=""width:800px;"">
      <p>Thank you for your interest in this study!</p>
      <p>The experiment takes approximately 30 minutes. Finishing the full session is required for credit.</p>
      <p>Careful, attentive responses are essential for high-quality data. Rushed or ineffortful responses can mask meaningful patterns in how people perceive visual information.</p>
      <p>Your thoughtful participation genuinely helps advance scientific understanding of the human mind, and we greatly appreciate your time and engagement.</p>
    </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
