timestamp,filename,out_path,vertices,angle_deg,curvature_level,orientation_deg,smooth_strength,img_size,stroke,margin
2026-01-12T16:21:02,stim_nv1_ang45_s0.0_rot+000.png,MainExp/images/stim_nv1_ang45_s0.0_rot+000.png,1,45,45,0,0,0.0,512,9,40
2026-01-12T16:21:02,stim_nv1_ang45_s0.0_rot+045.png,MainExp/images/stim_nv1_ang45_s0.0_rot+045.png,1,45,45,0,45,0.0,512,9,40
2026-01-12T16:21:03,stim_nv1_ang45_s0.0_rot+090.png,MainExp/images/stim_nv1_ang45_s0.0_rot+090.png,1,45,45,0,90,0.0,512,9,40
2026-01-12T16:21:04,stim_nv1_ang45_s0.0_rot+135.png,MainExp/images/stim_nv1_ang45_s0.0_rot+135.png,1,45,45,0,135,0.0,512,9,40
2026-01-12T16:21:04,stim_nv1_ang45_s0.0_rot+180.png,MainExp/images/stim_nv1_ang45_s0.0_rot+180.png,1,45,45,0,180,0.0,512,9,40
2026-01-12T16:21:05,stim_nv1_ang45_s0.0_rot-045.png,MainExp/images/stim_nv1_ang45_s0.0_rot-045.png,1,45,45,0,-45,0.0,512,9,40
2026-01-12T16:21:05,stim_nv1_ang45_s0.0_rot-090.png,MainExp/images/stim_nv1_ang45_s0.0_rot-090.png,1,45,45,0,-90,0.0,512,9,40
2026-01-12T16:21:05,stim_nv1_ang45_s0.0_rot-135.png,MainExp/images/stim_nv1_ang45_s0.0_rot-135.png,1,45,45,0,-135,0.0,512,9,40
2026-01-12T16:21:06,stim_nv1_ang45_s0.8_rot+000.png,MainExp/images/stim_nv1_ang45_s0.8_rot+000.png,1,45,45,1,0,0.8,512,9,40
2026-01-12T16:21:06,stim_nv1_ang45_s0.8_rot+045.png,MainExp/images/stim_nv1_ang45_s0.8_rot+045.png,1,45,45,1,45,0.8,512,9,40
2026-01-12T16:21:07,stim_nv1_ang45_s0.8_rot+090.png,MainExp/images/stim_nv1_ang45_s0.8_rot+090.png,1,45,45,1,90,0.8,512,9,40
2026-01-12T16:21:07,stim_nv1_ang45_s0.8_rot+135.png,MainExp/images/stim_nv1_ang45_s0.8_rot+135.png,1,45,45,1,135,0.8,512,9,40
2026-01-12T16:21:09,stim_nv1_ang45_s0.8_rot+180.png,MainExp/images/stim_nv1_ang45_s0.8_rot+180.png,1,45,45,1,180,0.8,512,9,40
2026-01-12T16:21:11,stim_nv1_ang45_s0.8_rot-045.png,MainExp/images/stim_nv1_ang45_s0.8_rot-045.png,1,45,45,1,-45,0.8,512,9,40
2026-01-12T16:21:12,stim_nv1_ang45_s0.8_rot-090.png,MainExp/images/stim_nv1_ang45_s0.8_rot-090.png,1,45,45,1,-90,0.8,512,9,40
2026-01-12T16:21:13,stim_nv1_ang45_s0.8_rot-135.png,MainExp/images/stim_nv1_ang45_s0.8_rot-135.png,1,45,45,1,-135,0.8,512,9,40
2026-01-12T16:21:13,stim_nv1_ang45_s1.4_rot+000.png,MainExp/images/stim_nv1_ang45_s1.4_rot+000.png,1,45,45,2,0,1.4,512,9,40
2026-01-12T16:21:15,stim_nv1_ang45_s1.4_rot+045.png,MainExp/images/stim_nv1_ang45_s1.4_rot+045.png,1,45,45,2,45,1.4,512,9,40
2026-01-12T16:21:15,stim_nv1_ang45_s1.4_rot+090.png,MainExp/images/stim_nv1_ang45_s1.4_rot+090.png,1,45,45,2,90,1.4,512,9,40
2026-01-12T16:21:16,stim_nv1_ang45_s1.4_rot+135.png,MainExp/images/stim_nv1_ang45_s1.4_rot+135.png,1,45,45,2,135,1.4,512,9,40
2026-01-12T16:21:17,stim_nv1_ang45_s1.4_rot+180.png,MainExp/images/stim_nv1_ang45_s1.4_rot+180.png,1,45,45,2,180,1.4,512,9,40
2026-01-12T16:21:18,stim_nv1_ang45_s1.4_rot-045.png,MainExp/images/stim_nv1_ang45_s1.4_rot-045.png,1,45,45,2,-45,1.4,512,9,40
2026-01-12T16:21:18,stim_nv1_ang45_s1.4_rot-090.png,MainExp/images/stim_nv1_ang45_s1.4_rot-090.png,1,45,45,2,-90,1.4,512,9,40
2026-01-12T16:21:19,stim_nv1_ang45_s1.4_rot-135.png,MainExp/images/stim_nv1_ang45_s1.4_rot-135.png,1,45,45,2,-135,1.4,512,9,40
2026-01-12T16:21:20,stim_nv1_ang90_s0.0_rot+000.png,MainExp/images/stim_nv1_ang90_s0.0_rot+000.png,1,90,90,0,0,0.0,512,9,40
2026-01-12T16:21:20,stim_nv1_ang90_s0.0_rot+045.png,MainExp/images/stim_nv1_ang90_s0.0_rot+045.png,1,90,90,0,45,0.0,512,9,40
2026-01-12T16:21:21,stim_nv1_ang90_s0.0_rot+090.png,MainExp/images/stim_nv1_ang90_s0.0_rot+090.png,1,90,90,0,90,0.0,512,9,40
2026-01-12T16:21:21,stim_nv1_ang90_s0.0_rot+135.png,MainExp/images/stim_nv1_ang90_s0.0_rot+135.png,1,90,90,0,135,0.0,512,9,40
2026-01-12T16:21:22,stim_nv1_ang90_s0.0_rot+180.png,MainExp/images/stim_nv1_ang90_s0.0_rot+180.png,1,90,90,0,180,0.0,512,9,40
