fname,shape_family,range_px,N,rep,curv_level,base_R,angle_jitter_deg,win,passes,perimeter_px,area_px2,curv_energy,mean_abs_kappa,max_abs_kappa,canvas_px,margin_px,line_width_px,seed_like,engine
images/circle_rng12_N9_curv0_seed10.png,circle,12,9,1,curv0,100,2.0,0,0,3163.277,738003.010,4.653652,0.002243,1.147178,1200,60,8,10,circle+moving_avg
images/circle_rng12_N9_curv1_seed10.png,circle,12,9,1,curv1,100,2.0,44,2,3177.340,756856.224,0.086318,0.002106,0.036955,1200,60,8,10,circle+moving_avg
images/circle_rng12_N9_curv2_seed10.png,circle,12,9,1,curv2,100,2.0,80,5,3203.837,787622.612,0.030295,0.002054,0.012116,1200,60,8,10,circle+moving_avg
images/circle_rng25_N9_curv0_seed10.png,circle,25,9,1,curv0,100,2.0,0,0,3302.997,623151.452,20.958588,0.003683,3.656202,1200,60,8,10,circle+moving_avg
images/circle_rng25_N9_curv1_seed10.png,circle,25,9,1,curv1,100,2.0,44,2,3271.547,633234.748,0.282886,0.003211,0.104281,1200,60,8,10,circle+moving_avg
images/circle_rng25_N9_curv2_seed10.png,circle,25,9,1,curv2,100,2.0,80,5,3212.410,648709.653,0.099955,0.003158,0.034268,1200,60,8,10,circle+moving_avg
images/circle_rng45_N9_curv0_seed10.png,circle,45,9,1,curv0,100,2.0,0,0,3081.364,361810.279,185.979078,0.009121,10.021713,1200,60,8,10,circle+moving_avg
images/circle_rng45_N9_curv1_seed10.png,circle,45,9,1,curv1,100,2.0,44,2,3066.340,377596.823,0.847697,0.005310,0.303806,1200,60,8,10,circle+moving_avg
images/circle_rng45_N9_curv2_seed10.png,circle,45,9,1,curv2,100,2.0,80,5,3036.623,407115.483,0.288385,0.005095,0.097348,1200,60,8,10,circle+moving_avg
images/circle_rng12_N18_curv0_seed10.png,circle,12,18,1,curv0,100,2.0,0,0,3276.411,705261.006,14.697960,0.004175,2.927077,1200,60,8,10,circle+moving_avg
images/circle_rng12_N18_curv1_seed10.png,circle,12,18,1,curv1,100,2.0,44,2,3257.415,719703.772,0.174301,0.003704,0.064346,1200,60,8,10,circle+moving_avg
images/circle_rng12_N18_curv2_seed10.png,circle,12,18,1,curv2,100,2.0,80,5,3220.682,741877.987,0.060768,0.003335,0.020981,1200,60,8,10,circle+moving_avg
images/circle_rng25_N18_curv0_seed10.png,circle,25,18,1,curv0,100,2.0,0,0,3378.878,455442.763,241.129136,0.012231,9.214527,1200,60,8,10,circle+moving_avg
images/circle_rng25_N18_curv1_seed10.png,circle,25,18,1,curv1,100,2.0,44,2,3346.116,481723.183,0.891626,0.007250,0.246880,1200,60,8,10,circle+moving_avg
images/circle_rng25_N18_curv2_seed10.png,circle,25,18,1,curv2,100,2.0,80,5,3270.180,529624.382,0.296572,0.006143,0.078492,1200,60,8,10,circle+moving_avg
images/circle_rng45_N18_curv0_seed10.png,circle,45,18,1,curv0,100,2.0,0,0,4235.294,321862.978,82.644511,0.009371,5.347035,1200,60,8,10,circle+moving_avg
images/circle_rng45_N18_curv1_seed10.png,circle,45,18,1,curv1,100,2.0,44,2,4120.320,346181.713,3.103514,0.011089,0.911924,1200,60,8,10,circle+moving_avg
images/circle_rng45_N18_curv2_seed10.png,circle,45,18,1,curv2,100,2.0,80,5,3895.082,400472.105,1.009971,0.010004,0.286044,1200,60,8,10,circle+moving_avg
images/circle_rng12_N27_curv0_seed10.png,circle,12,27,1,curv0,100,2.0,0,0,3721.985,694629.877,60.185473,0.010336,3.492781,1200,60,8,10,circle+moving_avg
images/circle_rng12_N27_curv1_seed10.png,circle,12,27,1,curv1,100,2.0,44,2,3620.146,730616.209,0.556839,0.008305,0.080483,1200,60,8,10,circle+moving_avg
images/circle_rng12_N27_curv2_seed10.png,circle,12,27,1,curv2,100,2.0,80,5,3394.218,777842.216,0.155472,0.005737,0.023161,1200,60,8,10,circle+moving_avg
images/circle_rng25_N27_curv0_seed10.png,circle,25,27,1,curv0,100,2.0,0,0,4280.859,556957.229,70.330704,0.010369,6.819526,1200,60,8,10,circle+moving_avg
images/circle_rng25_N27_curv1_seed10.png,circle,25,27,1,curv1,100,2.0,44,2,4060.833,569890.998,1.275440,0.009359,0.340481,1200,60,8,10,circle+moving_avg
images/circle_rng25_N27_curv2_seed10.png,circle,25,27,1,curv2,100,2.0,80,5,3670.328,603352.299,0.455405,0.008391,0.109982,1200,60,8,10,circle+moving_avg
images/circle_rng45_N27_curv0_seed10.png,circle,45,27,1,curv0,100,2.0,0,0,5421.655,314652.522,341.450915,0.017290,10.729163,1200,60,8,10,circle+moving_avg
images/circle_rng45_N27_curv1_seed10.png,circle,45,27,1,curv1,100,2.0,44,2,4960.902,332934.521,7.360223,0.017399,1.410376,1200,60,8,10,circle+moving_avg
images/circle_rng45_N27_curv2_seed10.png,circle,45,27,1,curv2,100,2.0,80,5,4096.290,374779.183,2.447591,0.016453,0.454032,1200,60,8,10,circle+moving_avg
